,C00,C11,C22,C33,C44,C55,C01,C02,C12
(omega^2)_33,0.478098724898486,0.4792446742148396,1.362007951095327,1.1621050743429417,1.122507743662092,0.8022723270410945,1.5236939841021395,1.065459198200266,0.8989119462133134
(omega^2)_34,-1.03965692806318,-1.2291962178913962,-1.7485341856261947,-1.4276007611533634,-1.291843160535437,-1.2249056764874786,-0.7088866588199051,-0.3018915883231101,-0.4146093353465741
(omega^2)_35,-0.21248827582563207,0.11541611885945441,0.3845238787650763,-0.4141793217376905,-0.4874509648387945,0.1927917866783435,0.6720828982499014,0.568146548268742,0.4583443766421702
(omega^2)_36,-0.6860274223469023,-0.8674010836455361,-0.7132044035871195,0.5676787711303362,0.6755996638651298,0.12999788102190407,-1.7857291984673338,-1.6314007400727375,-1.5116835012934682
(omega^2)_37,1.6658496427115688,1.8279540100785345,1.464659395750051,1.7476238415281813,1.951286775548479,1.9062550913255802,1.0885385826099887,0.8296362353937115,0.7490257462414787
(omega^2)_38,-0.13446687871351592,-0.15559287121666898,-0.27604635515017084,-0.6117691589236698,-0.635899273754742,-1.1589700614104825,0.2925408861151535,0.8241497631361079,0.9512690893322823
(omega^2)_39,0.9658057854576116,0.6066991830644479,0.8382294340880696,1.1530226338559808,0.80937614925152,1.2658522166005748,-0.22751338638735483,-0.3559670404513253,-0.37544708724549464
(omega^2)_40,-1.9358197926676088,-1.491328103299597,-2.2263871043235293,-3.448737319216362,-3.240494596752833,-3.3719075941288645,0.3493712744834802,0.2514226496885521,0.10488933516502887
(omega^2)_41,0.38808335831393137,-0.08178423869348767,0.31863779306782125,1.6936658140747871,1.8076262006221746,0.9184910530098562,-0.6676121418853895,-0.4234333190485702,-0.30750585170500166
(omega^2)_42,0.5605689326780878,1.2024749125273526,1.3864699362416477,0.0902712480074328,-0.193860355087482,1.3753586820034112,0.5599917187213993,0.34262560123294244,0.6019703186157638
(omega^2)_43,-0.2528227490098529,-0.2725863137142239,-1.1676829155918995,-0.4147726077943402,-0.4739760504197861,-1.7148836995865135,-2.829810479928962,-3.1973562651730543,-3.4808199213067397
(omega^2)_44,0.8133852224821182,0.47616966576378994,1.0096602042865224,-0.17967292137951935,0.1827980724303926,1.4785981412135247,2.016737371202167,2.6625053421457565,2.886202634180764
(omega^2)_45,-0.7122514530170604,-0.477389421575214,0.2644477726523855,1.322274151873144,0.9016950059684312,0.22640775492554507,0.5135458818080849,0.5607102710773972,0.17236315921375012
(omega^2)_46,-0.07196306041786737,-0.4065454432981499,-1.3373717078723968,-2.0326201738716607,-1.8305836475855937,-2.1221607136390306,-0.47194304779475343,-0.7338257709512563,-0.43424961547478963
